id	sent	text
0	0.0	посидели, пора закругляться
1	2.0	с мужчиной должно быть хорошо. плохо жить я и сама смогу. м. монро
2	1.0	давно с наушниками не засыпала. ? единственный выходной для этого?
3	0.0	сначала мы спешим во взрослую жизнь , а потом мечтаем вернуться в детство.
4	0.0	 не понял тезис. погибло 60 миллионов человек, все остальное не важно. так? ну ок.
5	1.0	 тут классно!;)
6	0.0	меняю сто точек зрения на одну точку прозрения.
8	1.0	отличный вечер?? @ чайхана «тапчан» 
9	0.0	нет, ну ты видела? *____* 
11	0.0	 и муж и жена у тебя
14	0.0	любовь как бабочка: сожмешь слишком сильно — раздавишь, отпустишь — и она улетит. 
15	0.0	спартаки цска сыграют в центральном матче 9-го тура чемпионата россии по футболу 
17	1.0	 у меня он еще и дома..)
19	1.0	пригодится. я, например, прущих без очереди вежливо спрашиваю:quo vadis, infectio?озадачивает и отпугивает одновременно :))
20	1.0	осенняя ночь на улице?#street #night#moscow #russia @ дом 
21	2.0	отлично ?????? 
23	0.0	мышь apple magic mouse. плюсы и минусы манипулятора от apple. #followback
25	2.0	блять. я сейчас заплачу. почему вся хуйня всегда творится со мной? почему все плохое всегда связано со мной?
27	1.0	 сейчас пошло ретро)
28	2.0	мне недавно сказали,что нужно вынимать из чая ложку,а потом уже пить.типо,неудача в любви будет.то есть все это время мне мешала ложка? #rt
31	1.0	 хорошо там где олег яковлев и радио дача!каждый хит олега яковлева на радио дача!
32	2.0	мы за ним три года носились!) теперь нам стоит потерпеть, верим алим верим!
33	0.0	компашка абрамс, бёрк,курцман и орчи это лучшее из современного игрового кино
34	2.0	нарушаю принципы
35	2.0	караоке пэрри, блять, не работает!(с) георгина
37	0.0	porsche, audi и vw делают ставку на гибриды
38	0.0	когда я успела привыкнуть ложиться спать рано?
39	0.0	самаяосенняяосень в моей жизни
40	1.0	shazam у меня в голове ??
41	0.0	аа!!!!!не фотошоп! 
42	1.0	 с кубанью и цска посмотрим)
43	0.0	 ?? не не в нашим случае в лоб им треснешь и они ответят
44	0.0	я уже совсем долбанулся, но джек николсон в фильмесияниемне дико напоминает тревора из #gtav внешне.
46	0.0	правая рука характера - наше терпение. и чем сильнее терпение - тем сильней характер
47	1.0	аахахахахахахахахахах,оляя :dd
48	0.0	не ну я знаю пару реальных би, а если я с человеком не оч хорошо общаюсь то мне не интересно кто он там
49	1.0	спасибо! / это был лучший день в моей жизни! и все благодаря / я люблю тебя *3* / / мы об.. 
50	1.0	люблю своих друзей
51	1.0	 качаешь скилл)
52	1.0	надо до завтра выбрать ноут
53	0.0	к 27 годам я понял, что чистить яйца надо с узкой стороны. ну.. не всем дано.
54	0.0	пора что-то менять попытка вторая сменю звонок на телефоне, пожалуй... да, точно, начну с этого
55	2.0	дажи не сказал куда пошол
56	1.0	за одну ночь нельзя изменить жизнь. но за одну ночь можно изменить мысли, которые навсегда изменят твою жизнь. всем сладких!
57	2.0	люди такие уроды, что вечно им мало и вечно они хотят больше и больше,несмотря ни на что.странные ненасытныд мрази.
58	0.0	еду завтра за новой стиралкой
59	2.0	завтра вместо моего любимого диканя будет песьяков. верните мне андрюшуу
61	2.0	дк понимаешь, поноса не было, чисто живот болит и хуй пойми что это...
62	2.0	вы бы видели с какой рожей я писала этопослание. как будто меня ? заставили есть.
64	1.0	пора домой! выезжаю)
66	1.0	мотивация — это офигенно.
67	2.0	дерби? не, не слышал...
68	0.0	господа неспящие, насоветуйте мне ультрабук до 30-35к
69	0.0	ну вконтаче, где я обычно все смотрю - не было, а вообще релиз на hd только позавчера был , поэтому в основном везде экранки
70	0.0	поймите меня неправильно! 
71	2.0	человек потерялся((( 
72	1.0	тольятти я влюбилась в вас, спасибо ?? 
73	0.0	 надо бы выучить английский все же
74	0.0	21 век, спасибо за интернет и микроволновку.
75	1.0	*опасный момент*- гном!*другой опасный момент*- гном! а, это лавесси..*еще опасный момент*- гноом! да бля, это ди м…
76	1.0	oo, инстаграм щину!!!! открыл~~ бегом фолловить! --&gt; realcnu
77	1.0	почему мне так смешно 
78	2.0	ненавижу поп-корн! (@ кронверк синема w/ [pic]: 
79	1.0	недавно общалась со старым знакомым. сказал,что я очень добра к людям, даже в переписке. и что с ним давно так не общались, сказалспасибо
80	1.0	так вы и не называйте, я ж разве против)) но по мне - слово яркое правильное))) так что не отвлекайтесь на ерунду!
81	1.0	а теперь я, хаха, проверю свою карьерку за гамбург (спасибо облачному хранилищу сохранений ориджина за это).
82	1.0	 подписываюсь :)
83	0.0	время залечивает все раны.
84	0.0	 стивен хокинг изложил собственную теорию бессмертия 
86	0.0	eurasian poker tour, киев. андрей патейчук участник турнира eapt. (интервью) 
87	1.0	 поэтому и 8)
88	1.0	 но меня все равно душит жаба хд
89	2.0	в омской области ждут снег и минусовые температуры
90	1.0	саске крутойя реувеличила тебе он просто как персонаж понравился, типа молчит и такой серьезный
91	1.0	а ты откуда? хаххахаха.поздравляю ;3 карочи,я ща приеду,мы сыграем свадьба,а потом вы пойдёте трахаться.вот
93	1.0	люблю тебя!!!!сильно сильно!
94	2.0	с одной стороны, универ задолбал меня дальше некуда, с другой,5 лет пролетели так незаметно, взрослая жизнь, бла-бла-бла...
95	2.0	молодым говорят – «до свидания», старикам – «прощайте».
97	0.0	его задача стать не манделой, а леноном!
98	2.0	ну почему вы все мудаки?
99	0.0	одна установленная мышеловка = один расквашенный палец... мышеловки у меня две... а пальцев аж десять... еще ноги там... все равно жалко их
100	2.0	блин надо идти в душ и спать, а мне вообще не охото, хотя целый день засыпала, что за???
101	2.0	у меня и так хуевое зрение, а я еще целый день сижу в айоне, скоро ослепну с:
102	1.0	билибин очень крутой. очень.
103	0.0	этот дождливый субботний день не оставил нам выбора и в нашей подборке мы решили порадовать вас летними солнечными .. 
104	0.0	максэто обращение или подлежащее?
105	1.0	 выздоравливай малыш???:* :*
106	2.0	в жизни каждого человека есть много такого, о чем лучше забыть.
107	1.0	прошу юлю переодеть меня ))
108	2.0	почему так сложно просто любить и не лгать?
109	2.0	у них появился секс, а у тебя нет!
110	0.0	 эксперт: цену ликвидации химоружия в сирии назовут после инспекции
111	0.0	“ купить невъебенический дом в подмосковье, имея недвижимость в половине стран европы: done ?”?
112	0.0	вот на бывшей работе - 60-70% не москвичи, для меня нет никакой разницы вообще.
114	1.0	вот выговорилась и прям так хорошо на душе стало с:
115	1.0	спасибо вам за твиткам за вопросы за приятности ахах как нибудь я повторю еще:3
116	0.0	муж моей тети, они в гости приехали
117	2.0	да пошли эти все парни нафиг.сначала говорят что нравлюсь и тд ...пф...на хуй все ебнврот
118	2.0	одалживая деньги другу, теряешь друга и деньги.
