id	sent	text
3700	1.0	@faceguccigang @yulilnts Как мило то☀️
3601	1.0	@Kchernousova Ты сама яркая картинка! Поменьше мрака☀️
624	1.0	@edinorogPo Доброе утречко☀️ Выздоравливай💛
3723	1.0	Акция#базаотдыханск#лукоморье54#лукоморье#базаотдыха#бабьелето☀️#базаотдыхалукоморье#томск#одевай… https://t.co/vH144scNdd
3759	1.0	RT @Katharin_Aurora: @Dew21Lana @faithtrusthope7 @AlexaThirel @Nataliya_Le @Pavelulybkin @MarekStpie4 @CristinPereyra @Eagleeye47 @Martinet…
3070	1.0	RT @Baspirus: ӨМ☀️☀️☀️ https://t.co/0wz4HMnm7n
1349	1.0	Сайхан өдөр вэ ☀️☀️ https://t.co/JynycmMwot
930	1.0	Две недели до отпуска! 😃🇺🇸☀️ (at @TSystemsCis in Санкт-Петербург) https://t.co/SyuQJEPPG8
588	1.0	@irina3529 @grei012 @sold701 @KremlinRussia @PutinRF Здравствуйте ☀️💫 Владимир Путин - Аркадий Ротенберг https://t.co/qivQSSTaQL
299	1.0	"Мне понравилось видео ""☀️ Демократия для чайников."" (https://t.co/KyQ3BPqlnR) на"
810	1.0	На улице тепло так 🌤️☀️
2219	1.0	Сегодня в зале студии TODES Павелецкая будет очень жарко! 🔥 Мы начинаем уже через час 💥 Ну а пока - доброе утро, TO… https://t.co/XGNx8aTGvT
638	1.0	Фотография, которую обязан иметь каждый 😁#доброеутро☀️ https://t.co/lppmss18mM
2496	1.0	@Reg1na_z @zzzz19253613 @awwwwrrrr Спасибо заинька ☀️❤️
3911	1.0	Өглөөний мэнд ☀️☀️☀️ https://t.co/vfYQl3OQuT
895	1.0	@NePonatna_di @valalomaka @sinful_cookie @_Dzhony_ @LizkaP111 @sorr_tae_ismine @yanesplyu @ARMY_FOREVER_19… https://t.co/g8yAMnrfy7
585	1.0	RT @MahiMarianna: Пусть осень радует во всех проявлениях!🍁 Всем доброе утро и отличного дня!😊☀️ https://t.co/YjHyTaDH2x
